date,1. open,2. high,3. low,4. close,5. volume
2024-04-18 19:00:00,155.9,155.9,155.17,155.17,6398.0
2024-04-18 18:00:00,155.65,155.99,155.65,155.8,7673.0
2024-04-18 17:00:00,155.68,155.77,155.43,155.65,22009.0
2024-04-18 16:00:00,156.01,156.21,145.735,155.75,5685694.0
2024-04-18 15:00:00,156.05,156.695,155.9,156.01,2944374.0
2024-04-18 14:00:00,156.585,156.76,155.9,156.05,1793618.0
2024-04-18 13:00:00,156.065,156.82,155.83,156.59,2594212.0
2024-04-18 12:00:00,155.96,156.94,155.81,156.06,2513532.0
2024-04-18 11:00:00,156.3,156.43,155.87,155.955,1504421.0
2024-04-18 10:00:00,155.14,156.41,154.91,156.28,2241300.0
2024-04-18 09:00:00,155.61,156.87,154.62,155.14,2702619.0
2024-04-18 08:00:00,155.983,156.53,155.2,155.64,62537.0
2024-04-18 07:00:00,156.01,156.13,155.87,155.94,12475.0
2024-04-18 06:00:00,155.75,156.22,155.7,156.02,7026.0
2024-04-18 05:00:00,155.87,155.92,155.58,155.71,2850.0
2024-04-18 04:00:00,156.3,156.52,155.8,155.8,12920.0
2024-04-17 19:00:00,155.5,155.6,155.13,155.13,11646.0
2024-04-17 18:00:00,155.47,155.64,155.44,155.5,10940.0
2024-04-17 17:00:00,155.377,155.55,155.34,155.48,26504.0
2024-04-17 16:00:00,155.43,161.992,154.23,155.27,5411475.0
2024-04-17 15:00:00,155.811,155.89,155.07,155.44,3734324.0
2024-04-17 14:00:00,156.02,156.63,155.49,155.83,1963915.0
2024-04-17 13:00:00,154.745,156.045,154.66,156.015,2280360.0
2024-04-17 12:00:00,155.46,155.6,154.58,154.76,2035004.0
2024-04-17 11:00:00,156.23,156.694,155.38,155.45,2094592.0
2024-04-17 10:00:00,156.52,156.75,155.77,156.24,3302074.0
2024-04-17 09:00:00,155.26,157.08,154.915,156.52,2771495.0
2024-04-17 08:00:00,154.693,155.29,153.67,155.29,44843.0
2024-04-17 07:00:00,154.98,155.21,154.75,154.77,11906.0
2024-04-17 06:00:00,154.69,155.18,154.67,154.99,6150.0
2024-04-17 05:00:00,154.76,154.79,154.56,154.7,3141.0
