Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02 00:00:00+01:00,127.80249539880676,128.1211624998512,125.67145854394404,127.16517639160156,278889,0.0,0.0
2023-01-03 00:00:00+01:00,129.19664556777386,132.80147990036517,128.4796597609215,131.3276824951172,437757,0.0,0.0
2023-01-04 00:00:00+01:00,131.64632056113604,138.29835147040805,131.64632056113604,137.80044555664062,870762,0.0,0.0
2023-01-05 00:00:00+01:00,137.64112591638175,140.27006879874764,136.94406060569463,137.95977783203125,421267,0.0,0.0
2023-01-06 00:00:00+01:00,138.99542112555991,140.09080505371094,136.62538403838593,140.09080505371094,518333,0.0,0.0
2023-01-09 00:00:00+01:00,141.10653721434556,142.46084194877827,138.89583367439093,141.06671142578125,773636,0.0,0.0
2023-01-10 00:00:00+01:00,140.40946920545605,140.90737512462434,137.9000191182807,139.51324462890625,494204,0.0,0.0
2023-01-11 00:00:00+01:00,140.68830525404536,146.18519124496896,140.27006607575217,143.9346466064453,808600,0.0,0.0
2023-01-12 00:00:00+01:00,143.01849394540127,147.51956779063204,142.89900138500286,145.82669067382812,559425,0.0,0.0
2023-01-13 00:00:00+01:00,145.3686099023019,147.81831374400258,144.69146513647684,145.90635681152344,483063,0.0,0.0
2023-01-16 00:00:00+01:00,147.34032632281728,151.56255879369365,146.20510143462545,148.9933624267578,541393,0.0,0.0
2023-01-17 00:00:00+01:00,147.3801592376562,151.64223289731666,147.08141263265722,149.9891815185547,500540,0.0,0.0
2023-01-18 00:00:00+01:00,150.5866763010641,150.90532820680932,148.11706705072496,148.8539581298828,432707,0.0,0.0
2023-01-19 00:00:00+01:00,146.16527406772212,146.92208566538858,143.23758455837643,143.5363311767578,655332,0.0,0.0
2023-01-20 00:00:00+01:00,145.1694512018708,146.44408916239726,143.57614615377122,145.82669067382812,552986,0.0,0.0
2023-01-23 00:00:00+01:00,146.68308612275783,148.45562997090877,144.89062178336846,148.136962890625,373064,0.0,0.0
2023-01-24 00:00:00+01:00,148.4556303198925,149.43152166451085,147.36023122244544,148.09713745117188,306602,0.0,0.0
2023-01-25 00:00:00+01:00,147.47974190269548,148.05729940748708,144.33297279200605,144.890625,499916,0.0,0.0
2023-01-26 00:00:00+01:00,145.78685905380155,147.45983098124336,144.23339488931674,144.6715545654297,500694,0.0,0.0
2023-01-27 00:00:00+01:00,144.6715545654297,144.6715545654297,144.6715545654297,144.6715545654297,0,0.0,0.0
2023-01-30 00:00:00+01:00,146.1851917396017,147.49965556227312,144.6516328857871,146.70301818847656,619650,0.0,0.0
2023-01-31 00:00:00+01:00,145.78684978747623,146.9619156800805,144.47238603756975,146.76275634765625,477837,0.0,0.0
