date,1. open,2. high,3. low,4. close,5. volume,change,pct_change,prev_close,turnover
2024-03-22,166.69,171.2,166.3,170.83,75580637.0,-1.799999999999983,-1.042692463650574,172.63,12911440218.710001
2024-03-21,176.39,178.18,171.8,172.82,73178014.0,1.9899999999999807,1.1649007785517584,170.83,12646624379.48
2024-03-20,173.0,176.25,170.82,175.66,83846726.0,2.8400000000000034,1.6433283184816627,172.82,14728515889.16
2024-03-19,172.36,172.82,167.42,171.32,77271428.0,-4.340000000000003,-2.4706819993168594,175.66,13238141044.96
2024-03-18,170.02,174.72,165.9,173.8,108214358.0,2.480000000000018,1.447583469530711,171.32,18807655420.4
2024-03-15,163.16,165.1845,160.76,163.57,97146832.0,-10.230000000000018,-5.886075949367098,173.8,15890307310.24
2024-03-14,167.77,171.17,160.51,162.5,125494925.0,-1.0699999999999932,-0.6541541847526977,163.57,20392925312.5
2024-03-13,173.05,176.05,169.15,169.48,104717978.0,6.97999999999999,4.295384615384612,162.5,17747602911.44
2024-03-12,177.77,179.43,172.4101,177.54,87009098.0,8.060000000000002,4.755723389190458,169.48,15447595258.92
2024-03-11,175.45,182.87,174.8,177.77,85013157.0,0.2300000000000182,0.12954827081221865,177.54,15112788919.890001
2024-03-08,181.5,182.73,174.7,175.34,85544644.0,-2.430000000000007,-1.366934803397657,177.77,14999397878.960001
2024-03-07,174.35,180.04,173.7,178.65,102129004.0,3.3100000000000023,1.8877609216379598,175.34,18245346564.600002
2024-03-06,179.99,181.576,173.7,176.54,107920944.0,-2.1100000000000136,-1.1810803246571577,178.65,19052363453.76
2024-03-05,183.05,184.59,177.57,180.74,119660758.0,4.200000000000017,2.3790642347343516,176.54,21627485400.920002
2024-03-04,198.73,199.75,186.72,188.14,134334869.0,7.399999999999977,4.09427907491422,180.74,25273762253.66
2024-03-01,200.52,204.52,198.5,202.64,82243119.0,14.5,7.707026682257889,188.14,16665745634.159998
2024-02-29,204.18,205.28,198.4463,201.88,85906974.0,-0.7599999999999909,-0.3750493485984996,202.64,17342899911.12
2024-02-28,200.42,205.3,198.44,202.04,99806173.0,0.1599999999999966,0.07925500297205623,201.88,20164839192.92
2024-02-27,204.04,205.6,198.26,199.73,108645412.0,-2.3100000000000023,-1.1433379528806187,202.04,21699748138.76
2024-02-26,192.29,201.78,192.0,199.4,111747116.0,-0.3299999999999841,-0.16522305111900115,199.73,22282374930.4
2024-02-23,195.31,197.57,191.5,191.97,78841917.0,-7.430000000000007,-3.7261785356068278,199.4,15135282806.49
2024-02-22,194.0,198.32,191.36,197.41,92739461.0,5.439999999999998,2.83377611085065,191.97,18307696996.01
2024-02-21,193.36,199.44,191.95,194.77,103844008.0,-2.6399999999999864,-1.337318271617438,197.41,20225697438.16
2024-02-20,196.13,198.6,189.13,193.76,104545762.0,-1.0100000000000193,-0.518560353237163,194.77,20256786845.12
2024-02-16,202.06,203.17,197.4,199.95,111346705.0,6.189999999999998,3.1946738232865313,193.76,22263773664.75
2024-02-15,189.16,200.88,188.8595,200.45,120831762.0,0.5,0.2500625156289127,199.95,24220726692.899998
2024-02-14,185.3,188.89,183.35,188.71,81202987.0,-11.73999999999998,-5.856822150162122,200.45,15323815676.77
2024-02-13,183.99,187.26,182.1087,184.02,86759478.0,-4.689999999999998,-2.4852948969318,188.71,15965479141.560001
2024-02-12,192.11,194.73,187.28,188.13,95498597.0,4.109999999999985,2.23345288555592,184.02,17966151053.61
2024-02-09,190.18,194.12,189.48,193.57,84476347.0,5.439999999999998,2.891617498538235,188.13,16352086488.789999
2024-02-08,189.0,191.6171,185.58,189.56,83034043.0,-4.009999999999991,-2.0716020044428296,193.57,15739933191.08
2024-02-07,188.18,189.79,182.68,187.58,111535217.0,-1.9799999999999898,-1.0445241612154432,189.56,20921776004.86
2024-02-06,177.21,186.49,177.11,185.1,122675954.0,-2.480000000000018,-1.322102569570327,187.58,22707319085.399998
2024-02-05,184.26,184.68,175.01,181.06,134294447.0,-4.039999999999992,-2.1826039978390055,185.1,24315352573.82
2024-02-02,185.04,188.69,182.0,187.91,110612672.0,6.849999999999994,3.7832762620125804,181.06,20785227195.52
2024-02-01,188.5,189.88,184.28,188.86,91843275.0,0.950000000000017,0.5055611729019249,187.91,17345520916.5
2024-01-31,186.995,193.97,185.8459,187.29,103221430.0,-1.5700000000000216,-0.8313036111405436,188.86,19332341624.7
2024-01-30,195.33,196.3593,190.61,191.59,109982327.0,4.300000000000011,2.2959047466495797,187.29,21071514029.93
2024-01-29,185.63,191.48,183.67,190.93,125013148.0,-0.6599999999999966,-0.3444856203350888,191.59,23868760347.64
2024-01-26,185.5,186.78,182.1,183.25,107343231.0,-7.680000000000007,-4.022416592468447,190.93,19670647080.75
2024-01-25,189.7,193.0,180.06,182.63,198076787.0,-0.6200000000000045,-0.33833560709413124,183.25,36174763609.81
2024-01-24,211.88,212.73,206.77,207.83,112930989.0,25.200000000000017,13.798390187811439,182.63,23470447443.870003
2024-01-23,211.3,215.65,207.7516,209.14,106605946.0,1.3099999999999739,0.6303228600298194,207.83,22295567546.44
2024-01-22,212.26,217.8,206.27,208.8,117952527.0,-0.339999999999975,-0.1625705269197586,209.14,24628487637.600002
2024-01-19,209.99,213.19,207.56,212.19,102260343.0,3.3899999999999864,1.6235632183907889,208.8,21698622181.17
2024-01-18,216.88,217.45,208.74,211.88,108595431.0,-0.3100000000000023,-0.14609548046562448,212.19,23009199920.28
2024-01-17,214.86,215.67,212.01,215.55,103164400.0,3.670000000000016,1.7321125165187912,211.88,22237086420.0
2024-01-16,215.1,223.49,212.18,219.91,115355046.0,4.359999999999985,2.0227325446532163,215.55,25367728165.86
2024-01-12,220.08,225.34,217.1501,218.89,123043812.0,-1.0200000000000102,-0.46382611068164215,219.91,26933060008.679996
2024-01-11,230.57,230.93,225.37,227.22,105873612.0,8.330000000000013,3.8055644387591903,218.89,24056602118.64
2024-01-10,235.1,235.5,231.29,233.94,91628502.0,6.719999999999999,2.957486136783727,227.22,21435571757.88
2024-01-09,238.11,238.9646,232.04,234.96,96705664.0,1.0200000000000102,0.4360092331367138,233.94,22721962813.440002
2024-01-08,236.14,241.25,235.3,240.45,85166580.0,5.489999999999981,2.336567926455557,234.96,20478304161.0
2024-01-05,236.86,240.1196,234.9001,237.49,92240035.0,-2.9599999999999795,-1.2310251611561518,240.45,21906085912.15
2024-01-04,239.25,242.7,237.73,237.93,102629283.0,0.4399999999999977,0.18527095877720612,237.49,24418585304.190002
2024-01-03,244.98,245.68,236.32,238.45,121082599.0,0.5199999999999818,0.21855167486235505,237.93,28872145731.55
2024-01-02,250.08,251.25,244.41,248.42,104654163.0,9.969999999999999,4.181170056615646,238.45,25998187172.46
2023-12-29,255.1,255.19,247.43,248.48,100891578.0,0.060000000000002274,0.024152644714603433,248.42,25069539301.44
2023-12-28,263.66,265.13,252.71,253.18,113619943.0,4.700000000000017,1.8915003219575066,248.48,28766297168.74
2023-12-27,258.35,263.34,257.52,261.44,105853348.0,8.259999999999991,3.262500987439765,253.18,27674299301.12
2023-12-26,254.49,257.97,252.91,256.61,86892382.0,-4.829999999999984,-1.847460220318231,261.44,22297454145.02
2023-12-22,256.76,258.22,251.37,252.54,93370094.0,-4.070000000000022,-1.5860644557889492,256.61,23579683538.76
2023-12-21,251.9,254.7999,248.55,254.5,109594227.0,1.960000000000008,0.7761146749029946,252.54,27891730771.5
2023-12-20,256.41,259.84,247.0,247.14,125096987.0,-7.360000000000014,-2.89194499017682,254.5,30916469367.179996
2023-12-19,253.48,258.3399,253.01,257.22,106287276.0,10.080000000000041,4.078659868900236,247.14,27339213132.72
2023-12-18,253.78,258.74,251.36,252.08,116416490.0,-5.140000000000015,-1.9982894020682762,257.22,29346268799.2
2023-12-15,251.21,254.13,248.3,253.5,135932762.0,1.4199999999999875,0.5633132338940028,252.08,34458955167.0
2023-12-14,241.22,253.88,240.79,251.05,160829239.0,-2.4499999999999886,-0.9664694280078878,253.5,40376180450.950005
2023-12-13,234.19,240.3,228.2,239.29,146286348.0,-11.76000000000002,-4.684325831507675,251.05,35004860212.92
2023-12-12,238.55,238.99,233.87,237.01,95328313.0,-2.280000000000001,-0.9528187554849743,239.29,22593763464.129997
2023-12-11,242.74,243.441,237.45,239.74,97913888.0,2.730000000000018,1.1518501329057962,237.01,23473875509.120003
2023-12-08,240.27,245.27,239.2701,243.84,103126829.0,4.099999999999994,1.7101860348710973,239.74,25146445983.36
2023-12-07,241.55,244.08,236.98,242.64,107142262.0,-1.200000000000017,-0.49212598425197873,243.84,25996998451.68
2023-12-06,242.92,246.57,239.1709,239.37,125905295.0,-3.269999999999982,-1.3476755687438113,242.64,30137950464.15
2023-12-05,233.87,246.66,233.7,238.72,137971115.0,-0.6500000000000057,-0.2715461419559695,239.37,32936464572.8
2023-12-04,235.75,239.3733,233.2902,235.58,104099817.0,-3.1399999999999864,-1.3153485254691621,238.72,24523834888.86
2023-12-01,233.14,240.19,231.9,238.83,121331709.0,3.25,1.3795738178113526,235.58,28977652060.47
2023-11-30,245.14,245.22,236.91,240.08,132353196.0,1.25,0.5233848344010417,238.83,31775355295.68
2023-11-29,249.21,252.75,242.76,244.14,135401335.0,4.059999999999974,1.691102965678093,240.08,33056881926.899998
2023-11-28,236.68,247.0,234.01,246.72,148549913.0,2.5800000000000125,1.05677070533301,244.14,36650234535.36
2023-11-27,236.89,238.33,232.1,236.08,112031763.0,-10.639999999999986,-4.3125810635538215,246.72,26448458609.04
2023-11-24,233.75,238.75,232.33,235.45,65125203.0,-0.6300000000000239,-0.26685869196882983,236.08,15333729046.349998
2023-11-22,242.04,244.01,231.4,234.21,118117078.0,-1.2399999999999807,-0.5266510936504432,235.45,27664200838.38
2023-11-21,235.04,243.62,233.34,241.2,122288000.0,6.989999999999981,2.984501088766489,234.21,29495865600.0
2023-11-20,234.04,237.1,231.02,235.6,116562402.0,-5.599999999999994,-2.321724709784412,241.2,27462101911.2
2023-11-17,232.0,237.39,226.54,234.3,142766234.0,-1.299999999999983,-0.5517826825127248,235.6,33450128626.2
2023-11-16,239.49,240.88,230.96,233.59,136816819.0,-0.710000000000008,-0.303030303030305,234.3,31959040750.21
2023-11-15,239.29,246.7,236.45,242.84,150353975.0,9.25,3.959929791515049,233.59,36511959289.0
2023-11-14,235.03,238.135,230.72,237.41,149771642.0,-5.430000000000007,-2.2360401910723082,242.84,35557285527.22
2023-11-13,215.6,225.4,211.6101,223.71,140447569.0,-13.699999999999989,-5.770607809275086,237.41,31419525660.99
2023-11-10,210.03,215.38,205.69,214.65,131310128.0,-9.060000000000002,-4.049886013142013,223.71,28185718975.2
2023-11-09,219.75,220.8,206.68,209.98,142110454.0,-4.670000000000016,-2.17563475425111,214.65,29840353130.92
2023-11-08,223.15,224.15,217.64,222.11,106584841.0,12.130000000000024,5.776740641965916,209.98,23673559034.510002
2023-11-07,219.98,223.12,215.72,222.18,116900130.0,0.06999999999999318,0.03151591553733901,222.11,25972870883.4
2023-11-06,223.98,226.32,215.0,219.27,117335820.0,-2.9099999999999966,-1.3097488522819334,222.18,25728225251.4
2023-11-03,221.15,226.3701,218.4,219.96,119534790.0,0.6899999999999977,0.3146805308523737,219.27,26292872408.4
2023-11-02,212.97,219.2,211.45,218.51,125987621.0,-1.450000000000017,-0.659210765593754,219.96,27529555064.71
2023-11-01,204.04,205.99,197.85,205.66,121661656.0,-12.849999999999994,-5.880737723673968,218.51,25020936172.96
2023-10-31,196.12,202.8,194.07,200.84,118068273.0,-4.819999999999993,-2.343674025089948,205.66,23712831949.32
2023-10-30,209.28,210.88,194.67,197.36,136448167.0,-3.4799999999999898,-1.7327225652260414,200.84,26929410239.120003
2023-10-27,210.6,212.41,205.77,207.3,94881173.0,9.939999999999998,5.036481556546413,197.36,19668867162.9
2023-10-26,211.32,214.8,204.88,205.76,115112635.0,-1.5400000000000205,-0.742884708152447,207.3,23685575777.6
2023-10-25,215.88,220.1,212.2,212.42,107065087.0,6.659999999999997,3.23678071539657,205.76,22742765780.539997
2023-10-24,216.5,222.05,214.11,216.52,118231113.0,4.100000000000023,1.9301384050466108,212.42,25599400586.760002
2023-10-23,210.0,216.98,202.51,212.08,150683368.0,-4.439999999999998,-2.050618880472932,216.52,31956928685.440002
2023-10-20,217.01,218.8606,210.42,211.99,138010095.0,-0.09000000000000341,-0.04243681629574336,212.08,29256760039.050003
2023-10-19,225.95,230.61,216.78,220.11,170772713.0,8.120000000000005,3.830369357045149,211.99,37588781858.43
2023-10-18,252.7,254.63,242.08,242.68,125147846.0,22.569999999999993,10.25396392712734,220.11,30370879267.280003
2023-10-17,250.1,257.183,247.08,254.85,93562909.0,12.169999999999987,5.014834349760999,242.68,23844507358.649998
2023-10-16,250.05,255.3999,248.48,253.92,88917176.0,-0.9300000000000068,-0.3649205414949952,254.85,22577849329.92
2023-10-13,258.9,259.6,250.22,251.12,102296786.0,-2.799999999999983,-1.1027095148078092,253.92,25688768900.32
2023-10-12,262.92,265.41,256.6307,258.87,111508114.0,7.75,3.0861739407454625,251.12,28866105471.18
2023-10-11,266.2,268.6,260.9,262.99,103706266.0,4.1200000000000045,1.5915324294047295,258.87,27273710895.34
2023-10-10,257.75,268.94,257.65,263.62,122656030.0,0.6299999999999955,0.23955283470853406,262.99,32334582628.600002
2023-10-09,255.31,261.36,252.05,259.67,101377947.0,-3.9499999999999886,-1.4983688642743354,263.62,26324811497.49
2023-10-06,253.98,261.65,250.65,260.53,118121812.0,0.8599999999999568,0.3311895867831982,259.67,30774275680.359997
2023-10-05,260.0,263.6,256.25,260.05,119159214.0,-0.47999999999996135,-0.18423981883083362,260.53,30987353600.7
2023-10-04,248.14,261.86,247.6,261.16,129721567.0,1.1100000000000136,0.42684099211689475,260.05,33878084437.720005
2023-10-03,248.61,250.02,244.45,246.53,101985305.0,-14.630000000000024,-5.601929851432086,261.16,25142437241.65
2023-10-02,244.81,254.2799,242.62,251.6,123810402.0,5.069999999999993,2.0565448424126886,246.53,31150697143.2
2023-09-29,250.0,254.77,246.35,250.22,128522729.0,-1.3799999999999955,-0.54848966613672,251.6,32158957250.38
2023-09-28,240.02,247.55,238.65,246.38,117058870.0,-3.8400000000000034,-1.534649508432584,250.22,28840964390.6
2023-09-27,244.262,245.33,234.58,240.5,136597184.0,-5.8799999999999955,-2.386557350434282,246.38,32851622752.0
2023-09-26,242.98,249.55,241.6601,244.12,101993631.0,3.6200000000000045,1.5051975051975086,240.5,24898685199.72
2023-09-25,243.38,247.1,238.31,246.99,104636557.0,2.8700000000000045,1.1756513190234408,244.12,25844183213.43
2023-09-22,257.4,257.7888,244.48,244.88,127524083.0,-2.1100000000000136,-0.8542855986072406,246.99,31228097445.04
2023-09-21,257.85,260.86,254.21,255.7,119951516.0,10.819999999999993,4.418490689317212,244.88,30671602641.199997
2023-09-20,267.04,273.93,262.4606,262.59,122514643.0,6.889999999999986,2.6945639421196654,255.7,32171120105.369995
2023-09-19,264.35,267.85,261.2,266.5,103704040.0,3.910000000000025,1.4890132906812958,262.59,27637126660.0
2023-09-18,271.16,271.44,263.7601,265.28,101543305.0,-1.2200000000000273,-0.4577861163227115,266.5,26937407950.399998
